"","Parameter","Specie","Plante","Value"
"162","erSem","Epinard",8,0.12752
"163","dSem","Epinard",8,1
"164","maxSem","Epinard",8,1
"165","ageAdv","Epinard",8,0
"166","distAdv","Epinard",8,0
"167","erAdv","Epinard",8,0
"168","dAdv","Epinard",8,0
"169","maxAdv","Epinard",8,0
"170","dmin","Epinard",8,0.294740804
"171","dmax","Epinard",8,0.473817154
"172","EL","Epinard",8,41.436526980931
"173","TrT","Epinard",8,1
"174","Trint","Epinard",8,0.03
"175","PDT","Epinard",8,6.015
"176","IPD","Epinard",8,20.5053731715961
"177","pdmax","Epinard",8,0.8
"178","pdmin","Epinard",8,0
"179","RDM","Epinard",8,0.0673919321435888
"180","CVDD","Epinard",8,0.15
"181","TMD","Epinard",8,0.1
"182","GDs","Epinard",8,400
"183","SGC","Epinard",8,0.9
"184","LDC","Epinard",8,5000
"185","erSem","Epinard",9,0.12752
"186","dSem","Epinard",9,1
"187","maxSem","Epinard",9,1
"188","ageAdv","Epinard",9,0
"189","distAdv","Epinard",9,0
"190","erAdv","Epinard",9,0
"191","dAdv","Epinard",9,0
"192","maxAdv","Epinard",9,0
"193","dmin","Epinard",9,0.29541172
"194","dmax","Epinard",9,0.433828422
"195","EL","Epinard",9,41.436526980931
"196","TrT","Epinard",9,1
"197","Trint","Epinard",9,0.03
"198","PDT","Epinard",9,6.015
"199","IPD","Epinard",9,17.6804723161375
"200","pdmax","Epinard",9,0.8
"201","pdmin","Epinard",9,0
"202","RDM","Epinard",9,0.0673919321435888
"203","CVDD","Epinard",9,0.15
"204","TMD","Epinard",9,0.1
"205","GDs","Epinard",9,400
"206","SGC","Epinard",9,0.9
"207","LDC","Epinard",9,5000
"208","erSem","Epinard",10,0.12752
"209","dSem","Epinard",10,1
"210","maxSem","Epinard",10,1
"211","ageAdv","Epinard",10,0
"212","distAdv","Epinard",10,0
"213","erAdv","Epinard",10,0
"214","dAdv","Epinard",10,0
"215","maxAdv","Epinard",10,0
"216","dmin","Epinard",10,0.325916074
"217","dmax","Epinard",10,0.56111802
"218","EL","Epinard",10,41.436526980931
"219","TrT","Epinard",10,1
"220","Trint","Epinard",10,0.03
"221","PDT","Epinard",10,6.015
"222","IPD","Epinard",10,26.333379478192
"223","pdmax","Epinard",10,0.8
"224","pdmin","Epinard",10,0
"225","RDM","Epinard",10,0.0673919321435888
"226","CVDD","Epinard",10,0.15
"227","TMD","Epinard",10,0.1
"228","GDs","Epinard",10,400
"229","SGC","Epinard",10,0.9
"230","LDC","Epinard",10,5000
"231","erSem","Epinard",11,0.12752
"232","dSem","Epinard",11,1
"233","maxSem","Epinard",11,1
"234","ageAdv","Epinard",11,0
"235","distAdv","Epinard",11,0
"236","erAdv","Epinard",11,0
"237","dAdv","Epinard",11,0
"238","maxAdv","Epinard",11,0
"239","dmin","Epinard",11,0.366830022
"240","dmax","Epinard",11,0.449934862
"241","EL","Epinard",11,41.436526980931
"242","TrT","Epinard",11,1
"243","Trint","Epinard",11,0.03
"244","PDT","Epinard",11,6.015
"245","IPD","Epinard",11,10.0772979136466
"246","pdmax","Epinard",11,0.8
"247","pdmin","Epinard",11,0
"248","RDM","Epinard",11,0.0673919321435888
"249","CVDD","Epinard",11,0.15
"250","TMD","Epinard",11,0.1
"251","GDs","Epinard",11,400
"252","SGC","Epinard",11,0.9
"253","LDC","Epinard",11,5000
"254","erSem","Epinard",12,0.12752
"255","dSem","Epinard",12,1
"256","maxSem","Epinard",12,1
"257","ageAdv","Epinard",12,0
"258","distAdv","Epinard",12,0
"259","erAdv","Epinard",12,0
"260","dAdv","Epinard",12,0
"261","maxAdv","Epinard",12,0
"262","dmin","Epinard",12,0.398678684
"263","dmax","Epinard",12,0.594603662
"264","EL","Epinard",12,41.436526980931
"265","TrT","Epinard",12,1
"266","Trint","Epinard",12,0.03
"267","PDT","Epinard",12,6.015
"268","IPD","Epinard",12,66.7637411462934
"269","pdmax","Epinard",12,0.8
"270","pdmin","Epinard",12,0
"271","RDM","Epinard",12,0.0673919321435888
"272","CVDD","Epinard",12,0.15
"273","TMD","Epinard",12,0.1
"274","GDs","Epinard",12,400
"275","SGC","Epinard",12,0.9
"276","LDC","Epinard",12,5000
"277","erSem","Epinard",13,0.12752
"278","dSem","Epinard",13,1
"279","maxSem","Epinard",13,1
"280","ageAdv","Epinard",13,0
"281","distAdv","Epinard",13,0
"282","erAdv","Epinard",13,0
"283","dAdv","Epinard",13,0
"284","maxAdv","Epinard",13,0
"285","dmin","Epinard",13,0.357178458
"286","dmax","Epinard",13,0.478347105
"287","EL","Epinard",13,41.436526980931
"288","TrT","Epinard",13,1
"289","Trint","Epinard",13,0.03
"290","PDT","Epinard",13,6.015
"291","IPD","Epinard",13,4.89040021382395
"292","pdmax","Epinard",13,0.8
"293","pdmin","Epinard",13,0
"294","RDM","Epinard",13,0.0673919321435888
"295","CVDD","Epinard",13,0.15
"296","TMD","Epinard",13,0.1
"297","GDs","Epinard",13,400
"298","SGC","Epinard",13,0.9
"299","LDC","Epinard",13,5000
"300","erSem","Epinard",14,0.12752
"301","dSem","Epinard",14,1
"302","maxSem","Epinard",14,1
"303","ageAdv","Epinard",14,0
"304","distAdv","Epinard",14,0
"305","erAdv","Epinard",14,0
"306","dAdv","Epinard",14,0
"307","maxAdv","Epinard",14,0
"308","dmin","Epinard",14,0.37947024
"309","dmax","Epinard",14,0.555826552
"310","EL","Epinard",14,41.436526980931
"311","TrT","Epinard",14,1
"312","Trint","Epinard",14,0.03
"313","PDT","Epinard",14,6.015
"314","IPD","Epinard",14,NA
"315","pdmax","Epinard",14,0.8
"316","pdmin","Epinard",14,0
"317","RDM","Epinard",14,0.0673919321435888
"318","CVDD","Epinard",14,0.15
"319","TMD","Epinard",14,0.1
"320","GDs","Epinard",14,400
"321","SGC","Epinard",14,0.9
"322","LDC","Epinard",14,5000
