"","Parameter","Specie","Treatment","Time","Value"
"117","dSem","Epinard","Feuilles","T3",1
"118","maxSem","Epinard","Feuilles","T3",1
"119","ageAdv","Epinard","Feuilles","T3",0
"120","distAdv","Epinard","Feuilles","T3",0
"121","erAdv","Epinard","Feuilles","T3",0
"122","dAdv","Epinard","Feuilles","T3",0
"123","maxAdv","Epinard","Feuilles","T3",0
"124","dmin","Epinard","Feuilles","T3",0.28900996
"125","dmax","Epinard","Feuilles","T3",0.65864238
"126","EL","Epinard","Feuilles","T3",39.2
"127","TrT","Epinard","Feuilles","T3",1
"128","Trint","Epinard","Feuilles","T3",0.03
"129","PDT","Epinard","Feuilles","T3",6.015
"130","IPD","Epinard","Feuilles","T3",7.53
"131","pdmax","Epinard","Feuilles","T3",0.8
"132","pdmin","Epinard","Feuilles","T3",0
"133","RDM","Epinard","Feuilles","T3",0.0739
"134","CVDD","Epinard","Feuilles","T3",0.15
"135","TMD","Epinard","Feuilles","T3",200.735269465737
"136","GDs","Epinard","Feuilles","T3",400
"137","SGC","Epinard","Feuilles","T3",0.9
"138","LDC","Epinard","Feuilles","T3",5000
"139","erSem","Epinard","Labour","T1",0.12752
"140","dSem","Epinard","Labour","T1",1
"141","maxSem","Epinard","Labour","T1",1
"142","ageAdv","Epinard","Labour","T1",0
"143","distAdv","Epinard","Labour","T1",0
"144","erAdv","Epinard","Labour","T1",0
"145","dAdv","Epinard","Labour","T1",0
"146","maxAdv","Epinard","Labour","T1",0
"147","dmin","Epinard","Labour","T1",0.324236658
"148","dmax","Epinard","Labour","T1",0.549751022
"149","EL","Epinard","Labour","T1",39.2
"150","TrT","Epinard","Labour","T1",1
"151","Trint","Epinard","Labour","T1",0.03
"152","PDT","Epinard","Labour","T1",6.015
"153","IPD","Epinard","Labour","T1",0.377009865999185
"154","pdmax","Epinard","Labour","T1",0.8
"155","pdmin","Epinard","Labour","T1",0
"156","RDM","Epinard","Labour","T1",0.0739
"157","CVDD","Epinard","Labour","T1",0.15
"158","TMD","Epinard","Labour","T1",2.35195555341108
"159","GDs","Epinard","Labour","T1",400
"160","SGC","Epinard","Labour","T1",0.9
"161","LDC","Epinard","Labour","T1",5000
"162","erSem","Epinard","Labour","T2",0.12752
"163","dSem","Epinard","Labour","T2",1
"164","maxSem","Epinard","Labour","T2",1
"165","ageAdv","Epinard","Labour","T2",0
"166","distAdv","Epinard","Labour","T2",0
"167","erAdv","Epinard","Labour","T2",0
"168","dAdv","Epinard","Labour","T2",0
"169","maxAdv","Epinard","Labour","T2",0
"170","dmin","Epinard","Labour","T2",0.253964058
"171","dmax","Epinard","Labour","T2",0.514608188
"172","EL","Epinard","Labour","T2",39.2
"173","TrT","Epinard","Labour","T2",1
"174","Trint","Epinard","Labour","T2",0.03
"175","PDT","Epinard","Labour","T2",6.015
"176","IPD","Epinard","Labour","T2",4.36684303276434
"177","pdmax","Epinard","Labour","T2",0.8
"178","pdmin","Epinard","Labour","T2",0
"179","RDM","Epinard","Labour","T2",0.0739
"180","CVDD","Epinard","Labour","T2",0.15
