"","Parameter","Specie","Treatment","Plante","Time","Value"
"107","IPD","Epinard","Bache",5,"T1",4.24842070801758
"108","pdmax","Epinard","Bache",5,"T1",0.8
"109","pdmin","Epinard","Bache",5,"T1",0
"110","RDM","Epinard","Bache",5,"T1",0.151
"111","CVDD","Epinard","Bache",5,"T1",0.15
"112","TMD","Epinard","Bache",5,"T1",11.7285366408203
"113","GDs","Epinard","Bache",5,"T1",400
"114","SGC","Epinard","Bache",5,"T1",0.9
"115","LDC","Epinard","Bache",5,"T1",5000
"116","erSem","Epinard","Bache",6,"T2",0.12752
"117","dSem","Epinard","Bache",6,"T2",1
"118","maxSem","Epinard","Bache",6,"T2",1
"119","ageAdv","Epinard","Bache",6,"T2",0
"120","distAdv","Epinard","Bache",6,"T2",0
"121","erAdv","Epinard","Bache",6,"T2",0
"122","dAdv","Epinard","Bache",6,"T2",0
"123","maxAdv","Epinard","Bache",6,"T2",0
"124","dmin","Epinard","Bache",6,"T2",0.192078828
"125","dmax","Epinard","Bache",6,"T2",0.432542968
"126","EL","Epinard","Bache",6,"T2",19.6
"127","TrT","Epinard","Bache",6,"T2",1
"128","Trint","Epinard","Bache",6,"T2",0.03
"129","PDT","Epinard","Bache",6,"T2",6.015
"130","IPD","Epinard","Bache",6,"T2",10.3278844755007
"131","pdmax","Epinard","Bache",6,"T2",0.8
"132","pdmin","Epinard","Bache",6,"T2",0
"133","RDM","Epinard","Bache",6,"T2",0.151
"134","CVDD","Epinard","Bache",6,"T2",0.15
"135","TMD","Epinard","Bache",6,"T2",221.433495831207
"136","GDs","Epinard","Bache",6,"T2",400
"137","SGC","Epinard","Bache",6,"T2",0.9
"138","LDC","Epinard","Bache",6,"T2",5000
"139","erSem","Epinard","Bache",7,"T2",0.12752
"140","dSem","Epinard","Bache",7,"T2",1
"141","maxSem","Epinard","Bache",7,"T2",1
"142","ageAdv","Epinard","Bache",7,"T2",0
"143","distAdv","Epinard","Bache",7,"T2",0
"144","erAdv","Epinard","Bache",7,"T2",0
"145","dAdv","Epinard","Bache",7,"T2",0
"146","maxAdv","Epinard","Bache",7,"T2",0
"147","dmin","Epinard","Bache",7,"T2",0.266558511
"148","dmax","Epinard","Bache",7,"T2",0.59183338
"149","EL","Epinard","Bache",7,"T2",19.6
"150","TrT","Epinard","Bache",7,"T2",1
"151","Trint","Epinard","Bache",7,"T2",0.03
"152","PDT","Epinard","Bache",7,"T2",6.015
"153","IPD","Epinard","Bache",7,"T2",9.42875308213598
"154","pdmax","Epinard","Bache",7,"T2",0.8
"155","pdmin","Epinard","Bache",7,"T2",0
"156","RDM","Epinard","Bache",7,"T2",0.151
"157","CVDD","Epinard","Bache",7,"T2",0.15
"158","TMD","Epinard","Bache",7,"T2",96.526534387217
"159","GDs","Epinard","Bache",7,"T2",400
"160","SGC","Epinard","Bache",7,"T2",0.9
"161","LDC","Epinard","Bache",7,"T2",5000
"162","erSem","Epinard","Bache",8,"T2",0.12752
"163","dSem","Epinard","Bache",8,"T2",1
"164","maxSem","Epinard","Bache",8,"T2",1
"165","ageAdv","Epinard","Bache",8,"T2",0
"166","distAdv","Epinard","Bache",8,"T2",0
"167","erAdv","Epinard","Bache",8,"T2",0
"168","dAdv","Epinard","Bache",8,"T2",0
"169","maxAdv","Epinard","Bache",8,"T2",0
"170","dmin","Epinard","Bache",8,"T2",0.25403565
"171","dmax","Epinard","Bache",8,"T2",0.52402638
"172","EL","Epinard","Bache",8,"T2",19.6
"173","TrT","Epinard","Bache",8,"T2",1
"174","Trint","Epinard","Bache",8,"T2",0.03
"175","PDT","Epinard","Bache",8,"T2",6.015
"176","IPD","Epinard","Bache",8,"T2",7.54263306269365
"177","pdmax","Epinard","Bache",8,"T2",0.8
"178","pdmin","Epinard","Bache",8,"T2",0
"179","RDM","Epinard","Bache",8,"T2",0.151
"180","CVDD","Epinard","Bache",8,"T2",0.15
"181","TMD","Epinard","Bache",8,"T2",109.553042486759
"182","GDs","Epinard","Bache",8,"T2",400
